1#Ukrainian#UP#UP##49#32#UP#149;4#Kiev, Ukraine (General), Ukraine#UP#UP00#28554#50.4333#30.5167#-1044367#4;1#Ukraine#UP#UP##49#32#UP#13;1#Ukraine#UP#UP##49#32#UP#55	-0.917431192660551,1.8348623853211,2.75229357798165,4.58715596330275,14.6788990825688,0,94
1#Turkey#LY#TU##39#35#TU#3575;1#Turkey#LY#TU##39#35#TU#3803;1#Turkey#LY#TU##39#35#TU#3907;4#Darnah, Sha`Biyat Darnah, Libya#LY#LY70#19091#32.767#22.6367#-3165331#4726;1#Arab Republic Of Egypt#LY#EG##27#30#EG#5440;4#Sirte, Sha`Biyat Surt, Libya#LY#LY76#19099#31.2089#16.5887#-3178329#1737;1#Turkish#LY#TU##39#35#TU#3545;1#Turkish#LY#TU##39#35#TU#3982;1#Qatar#LY#QA##25.5#51.25#QA#3432;4#Al-Aziziyah, Al Jafarah, Libya#LY#LY81#19089#32.5319#13.0175#-3161194#9533;4#Al Abyar, Libya (General), Libya#LY#LY00#19090#32.1913#20.5967#-3161120#5633;1#Libyan#LY#LY##25#17#LY#297;1#Libyan#LY#LY##25#17#LY#358;1#Libyan#LY#LY##25#17#LY#410;1#Libyan#LY#LY##25#17#LY#1070;1#Libyan#LY#LY##25#17#LY#1408;1#Libyan#LY#LY##25#17#LY#1938;1#Libyan#LY#LY##25#17#LY#2476;1#Libyan#LY#LY##25#17#LY#2894;1#Libyan#LY#LY##25#17#LY#3743;1#Libyan#LY#LY##25#17#LY#4249;1#Libyan#LY#LY##25#17#LY#4318;1#Libyan#LY#LY##25#17#LY#7186;1#Libyan#LY#LY##25#17#LY#7250;1#Libya#LY#LY##25#17#LY#86;1#Libya#LY#LY##25#17#LY#1441;1#Libya#LY#LY##25#17#LY#1601;1#Libya#LY#LY##25#17#LY#1716;1#Libya#LY#LY##25#17#LY#1744;1#Libya#LY#LY##25#17#LY#1808;1#Libya#LY#LY##25#17#LY#2330;1#Libya#LY#LY##25#17#LY#3185;1#Libya#LY#LY##25#17#LY#3349;1#Libya#LY#LY##25#17#LY#3627;1#Libya#LY#LY##25#17#LY#3934;1#Libya#LY#LY##25#17#LY#4034;1#Libya#LY#LY##25#17#LY#4733;1#Libya#LY#LY##25#17#LY#5195;1#Libya#LY#LY##25#17#LY#5530;1#Libya#LY#LY##25#17#LY#5640;1#Libya#LY#LY##25#17#LY#6138;1#Libya#LY#LY##25#17#LY#6170;1#Libya#LY#LY##25#17#LY#6242;1#Libya#LY#LY##25#17#LY#7898;1#Libya#LY#LY##25#17#LY#9393;1#Libya#LY#LY##25#17#LY#9540;1#Libya#LY#LY##25#17#LY#9647;1#Libya#LY#LY##25#17#LY#9736;1#Kingdom Of Saudi Arabia#LY#SA##25#45#SA#5324;1#Egypt#LY#EG##27#30#EG#35;1#Egypt#LY#EG##27#30#EG#477;1#Egypt#LY#EG##27#30#EG#926;1#Egypt#LY#EG##27#30#EG#2411;1#Egypt#LY#EG##27#30#EG#4150;1#Egypt#LY#EG##27#30#EG#5357;1#Egypt#LY#EG##27#30#EG#5440;1#Sudan#LY#SU##15#30#SU#3440;1#Libyans#LY#LY##25#17#LY#1352;4#Al-Karamah, Babil, Iraq#LY#IZ06#36778#32.4874#44.4302#10208998#5727;4#Arab League, Al Qahirah, Egypt#LY#EG11#65350#30.0445#31.2332#11230301#4143;1#Iraq#LY#IZ##33#44#IZ#2760;1#Iraq#LY#IZ##33#44#IZ#5733;4#Tripoli, Tarabulus, Libya#LY#LY61#19101#32.8925#13.18#-3178767#1709;4#Tripoli, Tarabulus, Libya#LY#LY61#19101#32.8925#13.18#-3178767#9386;4#Tripoli, Tarabulus, Libya#LY#LY61#19101#32.8925#13.18#-3178767#9640;4#Tripoli, Tarabulus, Libya#LY#LY61#19101#32.8925#13.18#-3178767#9729;1#Syria#LY#SY##35#38#SY#2768;1#Egyptian#LY#EG##27#30#EG#158;1#Egyptian#LY#EG##27#30#EG#616;1#Egyptian#LY#EG##27#30#EG#1931;1#Egyptian#LY#EG##27#30#EG#2585;1#Egyptian#LY#EG##27#30#EG#2625;1#Egyptian#LY#EG##27#30#EG#4663	-0.924918389553863,2.50272034820457,3.42763873775843,5.930359085963,22.5244831338411,4.08052230685528,1651
1#Americans#US#US##38#-97#US#4239;1#Americans#US#US##38#-97#US#4904;3#Houston, Texas, United States#US#USTX#TX201#29.7633#-95.3633#1380948#450;1#America#US#US##38#-97#US#3782;1#America#US#US##38#-97#US#4542;3#San Francisco, California, United States#US#USCA#CA075#37.7749#-122.419#277593#14;3#San Francisco, California, United States#US#USCA#CA075#37.7749#-122.419#277593#411;3#San Francisco, California, United States#US#USCA#CA075#37.7749#-122.419#277593#3318;1#American#US#US##38#-97#US#159;1#American#US#US##38#-97#US#881;1#American#US#US##38#-97#US#982;1#American#US#US##38#-97#US#1909;1#American#US#US##38#-97#US#2348;1#American#US#US##38#-97#US#2404;1#American#US#US##38#-97#US#4033;1#American#US#US##38#-97#US#4130;1#American#US#US##38#-97#US#4760;1#American#US#US##38#-97#US#4778;1#United States#US#US##38#-97#US#29;1#United States#US#US##38#-97#US#426;1#United States#US#US##38#-97#US#465;1#United States#US#US##38#-97#US#3333;1#United States#US#US##38#-97#US#3710;1#United States#US#US##38#-97#US#4085;3#Washington, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#4070	3.54457572502685,4.51127819548872,0.966702470461869,5.47798066595059,18.0451127819549,0.859291084854995,815
4#Brussels, Bruxelles-Capitale, Belgium#US#BE11#5850#50.8333#4.33333#-1955538#704;1#France#US#FR##46#2#FR#172;1#France#US#FR##46#2#FR#665;3#Washington, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#678	-8.2089552238806,2.23880597014925,10.4477611940298,12.6865671641791,23.8805970149254,2.23880597014925,120
2#Kansas, United States#US#USKS##38.5111#-96.8005#KS#758;2#North Dakota, United States#US#USND##47.5362#-99.793#ND#176	-0.757575757575757,2.27272727272727,3.03030303030303,5.3030303030303,23.4848484848485,0,120
	-3.65853658536585,1.21951219512195,4.8780487804878,6.09756097560976,28.6585365853659,0,152
	5.76923076923077,5.76923076923077,0,5.76923076923077,16.3461538461538,0,87
2#Indiana, United States#US#USIN##39.8647#-86.2604#IN#168;2#Indiana, United States#US#USIN##39.8647#-86.2604#IN#568;2#Indiana, United States#US#USIN##39.8647#-86.2604#IN#1182	-2.57510729613734,0.429184549356223,3.00429184549356,3.43347639484979,21.8884120171674,0,216
2#Texas, United States#US#USTX##31.106#-97.6475#TX#24;2#Texas, United States#US#USTX##31.106#-97.6475#TX#198;3#Houston, Texas, United States#US#USTX#TX201#29.7633#-95.3633#1380948#727;3#University Of Texas, Texas, United States#US#USTX#TX453#30.286#-97.7389#1349113#24	-2.2140221402214,2.5830258302583,4.7970479704797,7.38007380073801,16.9741697416974,0,239
1#Ukrainian#UP#UP##49#32#UP#396;4#Artemivsk, Donets'ka Oblast', Ukraine#UP#UP05#28556#48.5956#37.9999#-1034612#10;1#Ukraine#UP#UP##49#32#UP#19;1#Ukraine#UP#UP##49#32#UP#29;1#Ukraine#UP#UP##49#32#UP#39	-9.09090909090909,0,9.09090909090909,9.09090909090909,11.3636363636364,0,79
